score,scoreAlt,standard,stdText,charge240,cylinders,displ,drive,engId,eng_dscr,feScore,fuelType,hlv,hpv,lv2,lv4,make,model,pv2,pv4,trany,VClass,year,trans_dscr,atvType,startStop,Barrels,City,Co2,comb,Highway,Charger,ghgScoreavg
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.7,Front-Wheel Drive,116,,4,Regular,0,0,0,0,Toyota,Highlander,0,0,Automatic (S6),Small Sport Utility Vehicle 2WD,2018,,,N,13.52318181818182,20,406,22,24,0,4.0
5.0,-1.0,T3B70,Federal Tier 3 Bin 70,0.0,4.0,1.5,Front-Wheel Drive,29,SIDI,7,Regular,0,0,0,0,Honda,CR-V FWD,0,0,Automatic (variable gear ratios),Small Sport Utility Vehicle 2WD,2018,,,N,9.917,28,291,30,34,T,7.0
5.0,-1.0,L3ULEV70,California LEV-III ULEV70,0.0,4.0,2.4,Front-Wheel Drive,27,SIDI,6,Regular,0,0,0,0,Honda,CR-V FWD,0,0,Automatic (variable gear ratios),Small Sport Utility Vehicle 2WD,2018,,,N,10.625357142857142,26,311,28,32,0,6.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,3.0,1.0,Front-Wheel Drive,194,SIDI,6,Regular,0,0,0,0,Ford,EcoSport FWD,0,0,Automatic (S6),Small Sport Utility Vehicle 2WD,2018,,,Y,10.625357142857142,27,313,28,29,T,6.0
3.0,-1.0,T3B110,Federal Tier 3 Transitional Bin 110,0.0,6.0,3.6,Front-Wheel Drive,538,,4,Regular,0,0,0,0,Dodge,Grand Caravan,0,0,Automatic 6-spd,Minivan - 2WD,2018,,,N,14.8755,17,444,20,25,0,4.0
3.0,-1.0,T3B110,Federal Tier 3 Transitional Bin 110,0.0,6.0,3.6,Front-Wheel Drive,35,FFV,4,Gasoline or E85,0,0,0,0,Dodge,Grand Caravan,0,0,Automatic 6-spd,Minivan - 2WD,2018,,FFV,N,19.437642857142855,29,885,34,43,0,4.0
3.0,-1.0,T3B110,Federal Tier 3 Transitional Bin 110,0.0,6.0,3.6,4-Wheel Drive,536,FFV,3,Gasoline or E85,0,0,0,0,Ram,1500 4WD,0,0,Automatic 8-spd,Standard Pickup Trucks 4WD,2018,,FFV,N,20.571497975708503,27,957,32,39,0,3.0
3.0,-1.0,T3B110,Federal Tier 3 Transitional Bin 110,0.0,6.0,3.6,Rear-Wheel Drive,532,FFV,4,Gasoline or E85,0,0,0,0,Ram,1500 2WD,0,0,Automatic 8-spd,Standard Pickup Trucks 2WD,2018,,FFV,N,19.437642857142855,29,905,34,42,0,4.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,1.6,Front-Wheel Drive,42,SIDI,9,Regular,0,0,0,22,Kia,Niro Touring,0,101,Automatic (AM6),Small Station Wagons,2018,,Hybrid,Y,6.918837209302326,46,206,43,40,0,9.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,1.6,Front-Wheel Drive,41,SIDI,10,Regular,0,0,0,22,Kia,Niro FE,0,101,Automatic (AM6),Small Station Wagons,2018,,Hybrid,Y,5.950200000000001,52,176,50,49,0,10.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,1.6,Front-Wheel Drive,40,SIDI,10,Regular,0,0,0,22,Kia,Niro,0,101,Automatic (AM6),Small Station Wagons,2018,,Hybrid,Y,6.071632653061224,51,182,49,46,0,10.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,1.6,Front-Wheel Drive,44,SIDI,10,Regular,27,96,0,0,Hyundai,Ioniq,0,0,Automatic (AM6),Large Cars,2018,,Hybrid,Y,5.409272727272728,55,162,55,54,0,10.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,1.6,Front-Wheel Drive,38,SIDI,10,Regular,27,96,0,0,Hyundai,Ioniq Blue,0,0,Automatic (AM6),Large Cars,2018,,Hybrid,Y,5.12948275862069,57,153,58,59,0,10.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,2.0,Front-Wheel Drive,63,,9,Regular,0,0,0,24,Ford,C-MAX Hybrid FWD,0,100,Automatic (variable gear ratios),Large Cars,2018,,Hybrid,Y,7.43775,42,221,40,38,0,9.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,6.0,3.5,Front-Wheel Drive,45,,5,Premium,0,0,0,14,Nissan,Maxima,0,98,Automatic (AV-S7),Midsize Cars,2018,,,N,11.9004,21,363,25,30,0,5.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,4.0,2.0,Front-Wheel Drive,180,SIDI,5,Regular,23,90,0,0,Ford,Focus ST FWD,0,0,Manual 6-spd,Midsize Cars,2018,,,N,11.9004,22,355,25,30,T,5.0
7.0,-1.0,S2,California LEV-II SULEV,0.0,4.0,2.0,Front-Wheel Drive,79,SIDI,6,Regular,16,93,0,0,Volkswagen,GTI,0,0,Automatic (AM-S6),Compact Cars,2018,,,N,11.018888888888888,24,321,27,32,T,6.0
7.0,-1.0,S2,California LEV-II SULEV,0.0,4.0,2.0,Front-Wheel Drive,78,SIDI,6,Regular,16,93,0,0,Volkswagen,GTI,0,0,Manual 6-spd,Compact Cars,2018,,,N,10.625357142857142,25,319,28,33,T,6.0
3.0,-1.0,T3B110,Federal Tier 3 Transitional Bin 110,0.0,3.0,1.0,Front-Wheel Drive,182,SIDI,8,Regular,23,90,0,13,Ford,Focus FWD,0,90,Manual 6-spd,Compact Cars,2018,,,N,8.750294117647059,30,263,34,40,T,8.0
3.0,-1.0,U2,California LEV-II ULEV,0.0,3.0,1.0,Front-Wheel Drive,181,SIDI,7,Regular,23,90,0,13,Ford,Focus FWD,0,90,Automatic (S6),Compact Cars,2018,,,Y,9.597096774193547,27,285,31,38,T,7.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,2.0,Front-Wheel Drive,178,SIDI,6,Regular,23,90,0,13,Ford,Focus FWD,0,90,Manual 5-spd,Compact Cars,2018,,,N,10.625357142857142,25,315,28,34,0,6.0
7.0,-1.0,T3B30,Federal Tier 3 Bin 30,0.0,4.0,2.0,Front-Wheel Drive,176,SIDI,6,Regular,23,90,0,13,Ford,Focus FWD,0,90,Automatic (AM-S6),Compact Cars,2018,,,N,10.625357142857142,24,320,28,34,0,6.0
7.0,-1.0,L3SULEV30,California LEV-III SULEV30,0.0,4.0,2.0,Front-Wheel Drive,174,SIDI,7,Regular,23,90,0,13,Ford,Focus FWD,0,90,Automatic (AM6),Compact Cars,2018,,,N,9.597096774193547,26,288,31,38,0,7.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,8.0,5.0,Part-time 4-Wheel Drive,173,SIDI & PFI; FFV,3,Gasoline or E85,0,0,0,0,Ford,F150 4WD FFV BASE PAYLOAD LT,0,0,Automatic (S10),Standard Pickup Trucks 4WD,2018,,FFV,Y,22.41366515837104,28,1003,30,35,0,3.0
3.0,-1.0,T3B125,Federal Tier 3 Bin 125,0.0,8.0,5.0,Part-time 4-Wheel Drive,124,SIDI & PFI; FFV,3,Gasoline or E85,0,0,0,0,Ford,F150 5.0L 4WD FFV GVWR>7599 LBS,0,0,Automatic (S10),Standard Pickup Trucks 4WD,2018,,FFV,Y,22.41366515837104,26,1021,30,33,0,3.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,8.0,5.0,Part-time 4-Wheel Drive,31,SIDI & PFI; FFV,3,Gasoline or E85,0,0,0,0,Ford,F150 Pickup 4WD FFV,0,0,Automatic (S10),Standard Pickup Trucks 4WD,2018,,FFV,Y,21.441410256410258,28,976,31,37,0,3.0
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,8.0,5.0,Rear-Wheel Drive,199,SIDI & PFI; FFV,3,Gasoline or E85,0,0,0,0,Ford,F150 2WD FFV BASE PAYLOAD LT,0,0,Automatic (S10),Standard Pickup Trucks 2WD,2018,,FFV,Y,21.090476190476192,28,947,32,38,0,3.5
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,8.0,5.0,Rear-Wheel Drive,33,SIDI & PFI; FFV,3,Gasoline or E85,0,0,0,0,Ford,F150 5.0L 2WD FFV GVWR>7599 LBS,0,0,Automatic (S10),Standard Pickup Trucks 2WD,2018,,FFV,Y,22.062731092436973,28,975,31,37,0,3.5
3.0,-1.0,L3ULEV125,California LEV-III ULEV125,0.0,8.0,5.0,Rear-Wheel Drive,32,SIDI & PFI; FFV,3,Gasoline or E85,0,0,0,0,Ford,F150 Pickup 2WD FFV,0,0,Automatic (S10),Standard Pickup Trucks 2WD,2018,,FFV,Y,20.220563909774434,29,912,33,40,0,3.5
